text,label
"
CERTIFICATE OF COMPLETION

This certificate is awarded to

Arun

for successfully completing

Artificial Intelligence Course
",certificate
"
CERTIFICATE OF COMPLETION

This certificate is awarded to

Rahul

for successfully completing

Artificial Intelligence Course
",certificate
"
IBM CERTIFICATE

Awarded To

Teja

Completed

Python Programming
",certificate
"
CERTIFICATE OF COMPLETION

This certificate is awarded to

Kiran

for successfully completing

Artificial Intelligence Course
",certificate
"
IBM CERTIFICATE

Awarded To

Ganesh Naidu

Completed

Python Programming
",certificate
"
IBM CERTIFICATE

Awarded To

Rahul

Completed

Python Programming
",certificate
"
IBM CERTIFICATE

Awarded To

Sai Krishna

Completed

Python Programming
",certificate
"
CERTIFICATE OF COMPLETION

This certificate is awarded to

Rahul

for successfully completing

Artificial Intelligence Course
",certificate
"
CERTIFICATE OF COMPLETION

This certificate is awarded to

Arun

for successfully completing

Artificial Intelligence Course
",certificate
"
CERTIFICATE OF COMPLETION

This certificate is awarded to

Arun

for successfully completing

Artificial Intelligence Course
",certificate
"
IBM CERTIFICATE

Awarded To

Vijay

Completed

Python Programming
",certificate
"
CERTIFICATE OF COMPLETION

This certificate is awarded to

Suresh

for successfully completing

Artificial Intelligence Course
",certificate
"
IBM CERTIFICATE

Awarded To

Suresh

Completed

Python Programming
",certificate
"
IBM CERTIFICATE

Awarded To

Ravi Kumar

Completed

Python Programming
",certificate
"
CERTIFICATE OF COMPLETION

This certificate is awarded to

Arun

for successfully completing

Artificial Intelligence Course
",certificate
"
IBM CERTIFICATE

Awarded To

Sai Krishna

Completed

Python Programming
",certificate
"
CERTIFICATE OF COMPLETION

This certificate is awarded to

Kiran

for successfully completing

Artificial Intelligence Course
",certificate
"
IBM CERTIFICATE

Awarded To

Ravi Kumar

Completed

Python Programming
",certificate
"
IBM CERTIFICATE

Awarded To

Suresh

Completed

Python Programming
",certificate
"
IBM CERTIFICATE

Awarded To

Arun

Completed

Python Programming
",certificate
"
IBM CERTIFICATE

Awarded To

Mahesh

Completed

Python Programming
",certificate
"
CERTIFICATE OF COMPLETION

This certificate is awarded to

Vijay

for successfully completing

Artificial Intelligence Course
",certificate
"
IBM CERTIFICATE

Awarded To

Ganesh Naidu

Completed

Python Programming
",certificate
"
IBM CERTIFICATE

Awarded To

Kiran

Completed

Python Programming
",certificate
"
CERTIFICATE OF COMPLETION

This certificate is awarded to

Kiran

for successfully completing

Artificial Intelligence Course
",certificate
"
IBM CERTIFICATE

Awarded To

Vijay

Completed

Python Programming
",certificate
"
IBM CERTIFICATE

Awarded To

Rahul

Completed

Python Programming
",certificate
"
CERTIFICATE OF COMPLETION

This certificate is awarded to

Sai Krishna

for successfully completing

Artificial Intelligence Course
",certificate
"
IBM CERTIFICATE

Awarded To

Sai Krishna

Completed

Python Programming
",certificate
"
CERTIFICATE OF COMPLETION

This certificate is awarded to

Mahesh

for successfully completing

Artificial Intelligence Course
",certificate
"
CERTIFICATE OF COMPLETION

This certificate is awarded to

Arun

for successfully completing

Artificial Intelligence Course
",certificate
"
IBM CERTIFICATE

Awarded To

Vijay

Completed

Python Programming
",certificate
"
CERTIFICATE OF COMPLETION

This certificate is awarded to

Arun

for successfully completing

Artificial Intelligence Course
",certificate
"
IBM CERTIFICATE

Awarded To

Rahul

Completed

Python Programming
",certificate
"
CERTIFICATE OF COMPLETION

This certificate is awarded to

Arun

for successfully completing

Artificial Intelligence Course
",certificate
"
IBM CERTIFICATE

Awarded To

Rahul

Completed

Python Programming
",certificate
"
IBM CERTIFICATE

Awarded To

Mahesh

Completed

Python Programming
",certificate
"
CERTIFICATE OF COMPLETION

This certificate is awarded to

Sai Krishna

for successfully completing

Artificial Intelligence Course
",certificate
"
IBM CERTIFICATE

Awarded To

Sai Krishna

Completed

Python Programming
",certificate
"
IBM CERTIFICATE

Awarded To

Vijay

Completed

Python Programming
",certificate
"
CERTIFICATE OF COMPLETION

This certificate is awarded to

Ganesh Naidu

for successfully completing

Artificial Intelligence Course
",certificate
"
IBM CERTIFICATE

Awarded To

Suresh

Completed

Python Programming
",certificate
"
CERTIFICATE OF COMPLETION

This certificate is awarded to

Arun

for successfully completing

Artificial Intelligence Course
",certificate
"
CERTIFICATE OF COMPLETION

This certificate is awarded to

Teja

for successfully completing

Artificial Intelligence Course
",certificate
"
IBM CERTIFICATE

Awarded To

Ravi Kumar

Completed

Python Programming
",certificate
"
CERTIFICATE OF COMPLETION

This certificate is awarded to

Ravi Kumar

for successfully completing

Artificial Intelligence Course
",certificate
"
CERTIFICATE OF COMPLETION

This certificate is awarded to

Ravi Kumar

for successfully completing

Artificial Intelligence Course
",certificate
"
CERTIFICATE OF COMPLETION

This certificate is awarded to

Rahul

for successfully completing

Artificial Intelligence Course
",certificate
"
IBM CERTIFICATE

Awarded To

Vijay

Completed

Python Programming
",certificate
"
IBM CERTIFICATE

Awarded To

Ganesh Naidu

Completed

Python Programming
",certificate
"
IBM CERTIFICATE

Awarded To

Teja

Completed

Python Programming
",certificate
"
CERTIFICATE OF COMPLETION

This certificate is awarded to

Ganesh Naidu

for successfully completing

Artificial Intelligence Course
",certificate
"
IBM CERTIFICATE

Awarded To

Mahesh

Completed

Python Programming
",certificate
"
CERTIFICATE OF COMPLETION

This certificate is awarded to

Ravi Kumar

for successfully completing

Artificial Intelligence Course
",certificate
"
CERTIFICATE OF COMPLETION

This certificate is awarded to

Ganesh Naidu

for successfully completing

Artificial Intelligence Course
",certificate
"
IBM CERTIFICATE

Awarded To

Arun

Completed

Python Programming
",certificate
"
CERTIFICATE OF COMPLETION

This certificate is awarded to

Teja

for successfully completing

Artificial Intelligence Course
",certificate
"
CERTIFICATE OF COMPLETION

This certificate is awarded to

Kiran

for successfully completing

Artificial Intelligence Course
",certificate
"
IBM CERTIFICATE

Awarded To

Vijay

Completed

Python Programming
",certificate
"
IBM CERTIFICATE

Awarded To

Mahesh

Completed

Python Programming
",certificate
"
IBM CERTIFICATE

Awarded To

Rahul

Completed

Python Programming
",certificate
"
CERTIFICATE OF COMPLETION

This certificate is awarded to

Ganesh Naidu

for successfully completing

Artificial Intelligence Course
",certificate
"
CERTIFICATE OF COMPLETION

This certificate is awarded to

Vijay

for successfully completing

Artificial Intelligence Course
",certificate
"
IBM CERTIFICATE

Awarded To

Mahesh

Completed

Python Programming
",certificate
"
CERTIFICATE OF COMPLETION

This certificate is awarded to

Suresh

for successfully completing

Artificial Intelligence Course
",certificate
"
IBM CERTIFICATE

Awarded To

Arun

Completed

Python Programming
",certificate
"
CERTIFICATE OF COMPLETION

This certificate is awarded to

Vijay

for successfully completing

Artificial Intelligence Course
",certificate
"
IBM CERTIFICATE

Awarded To

Kiran

Completed

Python Programming
",certificate
"
CERTIFICATE OF COMPLETION

This certificate is awarded to

Suresh

for successfully completing

Artificial Intelligence Course
",certificate
"
APPLICATION FORM

Name : Ravi Kumar

Age : 21

Phone :

9876543210

Address :

Hyderabad
",form
"
APPLICATION FORM

Name : Rahul

Age : 21

Phone :

9876543210

Address :

Hyderabad
",form
"
COLLEGE ADMISSION FORM

Student :

Arun

Branch :

Computer Science

Year :

Third Year
",form
"
APPLICATION FORM

Name : Ravi Kumar

Age : 21

Phone :

9876543210

Address :

Hyderabad
",form
"
COLLEGE ADMISSION FORM

Student :

Arun

Branch :

Computer Science

Year :

Third Year
",form
"
APPLICATION FORM

Name : Ravi Kumar

Age : 21

Phone :

9876543210

Address :

Hyderabad
",form
"
APPLICATION FORM

Name : Sai Krishna

Age : 21

Phone :

9876543210

Address :

Hyderabad
",form
"
APPLICATION FORM

Name : Ravi Kumar

Age : 21

Phone :

9876543210

Address :

Hyderabad
",form
"
APPLICATION FORM

Name : Ganesh Naidu

Age : 21

Phone :

9876543210

Address :

Hyderabad
",form
"
COLLEGE ADMISSION FORM

Student :

Kiran

Branch :

Computer Science

Year :

Third Year
",form
"
APPLICATION FORM

Name : Suresh

Age : 21

Phone :

9876543210

Address :

Hyderabad
",form
"
APPLICATION FORM

Name : Mahesh

Age : 21

Phone :

9876543210

Address :

Hyderabad
",form
"
APPLICATION FORM

Name : Ganesh Naidu

Age : 21

Phone :

9876543210

Address :

Hyderabad
",form
"
COLLEGE ADMISSION FORM

Student :

Kiran

Branch :

Computer Science

Year :

Third Year
",form
"
COLLEGE ADMISSION FORM

Student :

Mahesh

Branch :

Computer Science

Year :

Third Year
",form
"
COLLEGE ADMISSION FORM

Student :

Mahesh

Branch :

Computer Science

Year :

Third Year
",form
"
APPLICATION FORM

Name : Sai Krishna

Age : 21

Phone :

9876543210

Address :

Hyderabad
",form
"
APPLICATION FORM

Name : Ganesh Naidu

Age : 21

Phone :

9876543210

Address :

Hyderabad
",form
"
COLLEGE ADMISSION FORM

Student :

Vijay

Branch :

Computer Science

Year :

Third Year
",form
"
APPLICATION FORM

Name : Mahesh

Age : 21

Phone :

9876543210

Address :

Hyderabad
",form
"
APPLICATION FORM

Name : Vijay

Age : 21

Phone :

9876543210

Address :

Hyderabad
",form
"
APPLICATION FORM

Name : Sai Krishna

Age : 21

Phone :

9876543210

Address :

Hyderabad
",form
"
APPLICATION FORM

Name : Ravi Kumar

Age : 21

Phone :

9876543210

Address :

Hyderabad
",form
"
APPLICATION FORM

Name : Arun

Age : 21

Phone :

9876543210

Address :

Hyderabad
",form
"
COLLEGE ADMISSION FORM

Student :

Teja

Branch :

Computer Science

Year :

Third Year
",form
"
COLLEGE ADMISSION FORM

Student :

Teja

Branch :

Computer Science

Year :

Third Year
",form
"
APPLICATION FORM

Name : Arun

Age : 21

Phone :

9876543210

Address :

Hyderabad
",form
"
APPLICATION FORM

Name : Sai Krishna

Age : 21

Phone :

9876543210

Address :

Hyderabad
",form
"
COLLEGE ADMISSION FORM

Student :

Ganesh Naidu

Branch :

Computer Science

Year :

Third Year
",form
"
APPLICATION FORM

Name : Ravi Kumar

Age : 21

Phone :

9876543210

Address :

Hyderabad
",form
"
COLLEGE ADMISSION FORM

Student :

Vijay

Branch :

Computer Science

Year :

Third Year
",form
"
APPLICATION FORM

Name : Rahul

Age : 21

Phone :

9876543210

Address :

Hyderabad
",form
"
COLLEGE ADMISSION FORM

Student :

Vijay

Branch :

Computer Science

Year :

Third Year
",form
"
APPLICATION FORM

Name : Kiran

Age : 21

Phone :

9876543210

Address :

Hyderabad
",form
"
APPLICATION FORM

Name : Arun

Age : 21

Phone :

9876543210

Address :

Hyderabad
",form
"
APPLICATION FORM

Name : Mahesh

Age : 21

Phone :

9876543210

Address :

Hyderabad
",form
"
APPLICATION FORM

Name : Kiran

Age : 21

Phone :

9876543210

Address :

Hyderabad
",form
"
APPLICATION FORM

Name : Teja

Age : 21

Phone :

9876543210

Address :

Hyderabad
",form
"
APPLICATION FORM

Name : Suresh

Age : 21

Phone :

9876543210

Address :

Hyderabad
",form
"
APPLICATION FORM

Name : Ravi Kumar

Age : 21

Phone :

9876543210

Address :

Hyderabad
",form
"
COLLEGE ADMISSION FORM

Student :

Mahesh

Branch :

Computer Science

Year :

Third Year
",form
"
APPLICATION FORM

Name : Vijay

Age : 21

Phone :

9876543210

Address :

Hyderabad
",form
"
COLLEGE ADMISSION FORM

Student :

Teja

Branch :

Computer Science

Year :

Third Year
",form
"
APPLICATION FORM

Name : Arun

Age : 21

Phone :

9876543210

Address :

Hyderabad
",form
"
APPLICATION FORM

Name : Vijay

Age : 21

Phone :

9876543210

Address :

Hyderabad
",form
"
APPLICATION FORM

Name : Sai Krishna

Age : 21

Phone :

9876543210

Address :

Hyderabad
",form
"
APPLICATION FORM

Name : Teja

Age : 21

Phone :

9876543210

Address :

Hyderabad
",form
"
APPLICATION FORM

Name : Kiran

Age : 21

Phone :

9876543210

Address :

Hyderabad
",form
"
APPLICATION FORM

Name : Suresh

Age : 21

Phone :

9876543210

Address :

Hyderabad
",form
"
COLLEGE ADMISSION FORM

Student :

Mahesh

Branch :

Computer Science

Year :

Third Year
",form
"
COLLEGE ADMISSION FORM

Student :

Teja

Branch :

Computer Science

Year :

Third Year
",form
"
COLLEGE ADMISSION FORM

Student :

Mahesh

Branch :

Computer Science

Year :

Third Year
",form
"
APPLICATION FORM

Name : Mahesh

Age : 21

Phone :

9876543210

Address :

Hyderabad
",form
"
COLLEGE ADMISSION FORM

Student :

Ganesh Naidu

Branch :

Computer Science

Year :

Third Year
",form
"
COLLEGE ADMISSION FORM

Student :

Kiran

Branch :

Computer Science

Year :

Third Year
",form
"
APPLICATION FORM

Name : Rahul

Age : 21

Phone :

9876543210

Address :

Hyderabad
",form
"
APPLICATION FORM

Name : Teja

Age : 21

Phone :

9876543210

Address :

Hyderabad
",form
"
COLLEGE ADMISSION FORM

Student :

Suresh

Branch :

Computer Science

Year :

Third Year
",form
"
COLLEGE ADMISSION FORM

Student :

Sai Krishna

Branch :

Computer Science

Year :

Third Year
",form
"
APPLICATION FORM

Name : Ravi Kumar

Age : 21

Phone :

9876543210

Address :

Hyderabad
",form
"
APPLICATION FORM

Name : Rahul

Age : 21

Phone :

9876543210

Address :

Hyderabad
",form
"
APPLICATION FORM

Name : Mahesh

Age : 21

Phone :

9876543210

Address :

Hyderabad
",form
"
COLLEGE ADMISSION FORM

Student :

Arun

Branch :

Computer Science

Year :

Third Year
",form
"
APPLICATION FORM

Name : Ganesh Naidu

Age : 21

Phone :

9876543210

Address :

Hyderabad
",form
"
APPLICATION FORM

Name : Ganesh Naidu

Age : 21

Phone :

9876543210

Address :

Hyderabad
",form
"
APPLICATION FORM

Name : Vijay

Age : 21

Phone :

9876543210

Address :

Hyderabad
",form
"
APPLICATION FORM

Name : Rahul

Age : 21

Phone :

9876543210

Address :

Hyderabad
",form
"
COLLEGE ADMISSION FORM

Student :

Arun

Branch :

Computer Science

Year :

Third Year
",form
"
COLLEGE ADMISSION FORM

Student :

Suresh

Branch :

Computer Science

Year :

Third Year
",form
"
APPLICATION FORM

Name : Rahul

Age : 21

Phone :

9876543210

Address :

Hyderabad
",form
"
APPLICATION FORM

Name : Rahul

Age : 21

Phone :

9876543210

Address :

Hyderabad
",form
"
APPLICATION FORM

Name : Ravi Kumar

Age : 21

Phone :

9876543210

Address :

Hyderabad
",form
"
APPLICATION FORM

Name : Mahesh

Age : 21

Phone :

9876543210

Address :

Hyderabad
",form
"
APPLICATION FORM

Name : Mahesh

Age : 21

Phone :

9876543210

Address :

Hyderabad
",form
"
APPLICATION FORM

Name : Mahesh

Age : 21

Phone :

9876543210

Address :

Hyderabad
",form
"
APPLICATION FORM

Name : Rahul

Age : 21

Phone :

9876543210

Address :

Hyderabad
",form
"
COLLEGE ADMISSION FORM

Student :

Ganesh Naidu

Branch :

Computer Science

Year :

Third Year
",form
"
COLLEGE ADMISSION FORM

Student :

Ganesh Naidu

Branch :

Computer Science

Year :

Third Year
",form
"
APPLICATION FORM

Name : Teja

Age : 21

Phone :

9876543210

Address :

Hyderabad
",form
"
APPLICATION FORM

Name : Ganesh Naidu

Age : 21

Phone :

9876543210

Address :

Hyderabad
",form
"
APPLICATION FORM

Name : Mahesh

Age : 21

Phone :

9876543210

Address :

Hyderabad
",form
"
APPLICATION FORM

Name : Arun

Age : 21

Phone :

9876543210

Address :

Hyderabad
",form
"
COLLEGE ADMISSION FORM

Student :

Rahul

Branch :

Computer Science

Year :

Third Year
",form
"
COLLEGE ADMISSION FORM

Student :

Rahul

Branch :

Computer Science

Year :

Third Year
",form
"
APPLICATION FORM

Name : Vijay

Age : 21

Phone :

9876543210

Address :

Hyderabad
",form
"
COLLEGE ADMISSION FORM

Student :

Sai Krishna

Branch :

Computer Science

Year :

Third Year
",form
"
COLLEGE ADMISSION FORM

Student :

Ganesh Naidu

Branch :

Computer Science

Year :

Third Year
",form
"
COLLEGE ADMISSION FORM

Student :

Rahul

Branch :

Computer Science

Year :

Third Year
",form
"
COLLEGE ADMISSION FORM

Student :

Arun

Branch :

Computer Science

Year :

Third Year
",form
"
COLLEGE ADMISSION FORM

Student :

Suresh

Branch :

Computer Science

Year :

Third Year
",form
"
APPLICATION FORM

Name : Ravi Kumar

Age : 21

Phone :

9876543210

Address :

Hyderabad
",form
"
COLLEGE ADMISSION FORM

Student :

Mahesh

Branch :

Computer Science

Year :

Third Year
",form
"
COLLEGE ADMISSION FORM

Student :

Sai Krishna

Branch :

Computer Science

Year :

Third Year
",form
"
APPLICATION FORM

Name : Sai Krishna

Age : 21

Phone :

9876543210

Address :

Hyderabad
",form
"
APPLICATION FORM

Name : Suresh

Age : 21

Phone :

9876543210

Address :

Hyderabad
",form
"
COLLEGE ADMISSION FORM

Student :

Rahul

Branch :

Computer Science

Year :

Third Year
",form
"
COLLEGE ADMISSION FORM

Student :

Mahesh

Branch :

Computer Science

Year :

Third Year
",form
"
APPLICATION FORM

Name : Suresh

Age : 21

Phone :

9876543210

Address :

Hyderabad
",form
"
COLLEGE ADMISSION FORM

Student :

Ravi Kumar

Branch :

Computer Science

Year :

Third Year
",form
"
COLLEGE ADMISSION FORM

Student :

Vijay

Branch :

Computer Science

Year :

Third Year
",form
"
TAX INVOICE

Invoice ID : 1001

Buyer : Vijay

Seller : XYZ Electronics

Items Purchased :

Keyboard

Mouse

Monitor

Total : 150813

Payment Mode : UPI
",invoice
"
TAX INVOICE

Invoice ID : 1010

Buyer : Kiran

Seller : XYZ Electronics

Items Purchased :

Keyboard

Mouse

Monitor

Total : 214928

Payment Mode : UPI
",invoice
"
TAX INVOICE

Invoice ID : 1100

Buyer : Ravi Kumar

Seller : XYZ Electronics

Items Purchased :

Keyboard

Mouse

Monitor

Total : 359388

Payment Mode : UPI
",invoice
"
INVOICE

Invoice Number : INV-1011

Invoice Date : 26/02/2026

Customer : Ravi Kumar

Company : ABC Technologies

Product : Laptop

Quantity : 7

Price : 9063

GST : 18%

Total Amount : 63441

Payment Status : Paid
",invoice
"
INVOICE

Invoice Number : INV-1012

Invoice Date : 17/12/2026

Customer : Ganesh Naidu

Company : ABC Technologies

Product : Laptop

Quantity : 8

Price : 92479

GST : 18%

Total Amount : 739832

Payment Status : Paid
",invoice
"
TAX INVOICE

Invoice ID : 1013

Buyer : Rahul

Seller : XYZ Electronics

Items Purchased :

Keyboard

Mouse

Monitor

Total : 80318

Payment Mode : UPI
",invoice
"
TAX INVOICE

Invoice ID : 1014

Buyer : Ravi Kumar

Seller : XYZ Electronics

Items Purchased :

Keyboard

Mouse

Monitor

Total : 100212

Payment Mode : UPI
",invoice
"
TAX INVOICE

Invoice ID : 1015

Buyer : Vijay

Seller : XYZ Electronics

Items Purchased :

Keyboard

Mouse

Monitor

Total : 291756

Payment Mode : UPI
",invoice
"
INVOICE

Invoice Number : INV-1016

Invoice Date : 05/08/2026

Customer : Arun

Company : ABC Technologies

Product : Laptop

Quantity : 5

Price : 18995

GST : 18%

Total Amount : 94975

Payment Status : Paid
",invoice
"
INVOICE

Invoice Number : INV-1017

Invoice Date : 22/10/2023

Customer : Ganesh Naidu

Company : ABC Technologies

Product : Laptop

Quantity : 8

Price : 54051

GST : 18%

Total Amount : 432408

Payment Status : Paid
",invoice
"
INVOICE

Invoice Number : INV-1018

Invoice Date : 14/10/2026

Customer : Mahesh

Company : ABC Technologies

Product : Laptop

Quantity : 7

Price : 22211

GST : 18%

Total Amount : 155477

Payment Status : Paid
",invoice
"
TAX INVOICE

Invoice ID : 1019

Buyer : Vijay

Seller : XYZ Electronics

Items Purchased :

Keyboard

Mouse

Monitor

Total : 357318

Payment Mode : UPI
",invoice
"
INVOICE

Invoice Number : INV-1002

Invoice Date : 01/12/2024

Customer : Suresh

Company : ABC Technologies

Product : Laptop

Quantity : 7

Price : 35715

GST : 18%

Total Amount : 250005

Payment Status : Paid
",invoice
"
TAX INVOICE

Invoice ID : 1020

Buyer : Arun

Seller : XYZ Electronics

Items Purchased :

Keyboard

Mouse

Monitor

Total : 626697

Payment Mode : UPI
",invoice
"
TAX INVOICE

Invoice ID : 1021

Buyer : Vijay

Seller : XYZ Electronics

Items Purchased :

Keyboard

Mouse

Monitor

Total : 798544

Payment Mode : UPI
",invoice
"
TAX INVOICE

Invoice ID : 1022

Buyer : Mahesh

Seller : XYZ Electronics

Items Purchased :

Keyboard

Mouse

Monitor

Total : 9942

Payment Mode : UPI
",invoice
"
INVOICE

Invoice Number : INV-1023

Invoice Date : 23/03/2024

Customer : Rahul

Company : ABC Technologies

Product : Laptop

Quantity : 9

Price : 10585

GST : 18%

Total Amount : 95265

Payment Status : Paid
",invoice
"
TAX INVOICE

Invoice ID : 1024

Buyer : Vijay

Seller : XYZ Electronics

Items Purchased :

Keyboard

Mouse

Monitor

Total : 41248

Payment Mode : UPI
",invoice
"
TAX INVOICE

Invoice ID : 1025

Buyer : Teja

Seller : XYZ Electronics

Items Purchased :

Keyboard

Mouse

Monitor

Total : 322092

Payment Mode : UPI
",invoice
"
INVOICE

Invoice Number : INV-1026

Invoice Date : 21/07/2022

Customer : Mahesh

Company : ABC Technologies

Product : Laptop

Quantity : 1

Price : 4999

GST : 18%

Total Amount : 4999

Payment Status : Paid
",invoice
"
INVOICE

Invoice Number : INV-1027

Invoice Date : 05/10/2026

Customer : Teja

Company : ABC Technologies

Product : Laptop

Quantity : 6

Price : 84343

GST : 18%

Total Amount : 506058

Payment Status : Paid
",invoice
"
TAX INVOICE

Invoice ID : 1028

Buyer : Ravi Kumar

Seller : XYZ Electronics

Items Purchased :

Keyboard

Mouse

Monitor

Total : 774810

Payment Mode : UPI
",invoice
"
TAX INVOICE

Invoice ID : 1029

Buyer : Suresh

Seller : XYZ Electronics

Items Purchased :

Keyboard

Mouse

Monitor

Total : 30700

Payment Mode : UPI
",invoice
"
INVOICE

Invoice Number : INV-1003

Invoice Date : 08/10/2024

Customer : Ganesh Naidu

Company : ABC Technologies

Product : Laptop

Quantity : 5

Price : 91335

GST : 18%

Total Amount : 456675

Payment Status : Paid
",invoice
"
INVOICE

Invoice Number : INV-1030

Invoice Date : 05/04/2024

Customer : Teja

Company : ABC Technologies

Product : Laptop

Quantity : 3

Price : 81109

GST : 18%

Total Amount : 243327

Payment Status : Paid
",invoice
"
INVOICE

Invoice Number : INV-1031

Invoice Date : 07/03/2026

Customer : Arun

Company : ABC Technologies

Product : Laptop

Quantity : 7

Price : 25703

GST : 18%

Total Amount : 179921

Payment Status : Paid
",invoice
"
TAX INVOICE

Invoice ID : 1032

Buyer : Sai Krishna

Seller : XYZ Electronics

Items Purchased :

Keyboard

Mouse

Monitor

Total : 510111

Payment Mode : UPI
",invoice
"
INVOICE

Invoice Number : INV-1033

Invoice Date : 05/01/2023

Customer : Sai Krishna

Company : ABC Technologies

Product : Laptop

Quantity : 9

Price : 29032

GST : 18%

Total Amount : 261288

Payment Status : Paid
",invoice
"
INVOICE

Invoice Number : INV-1034

Invoice Date : 24/03/2026

Customer : Sai Krishna

Company : ABC Technologies

Product : Laptop

Quantity : 9

Price : 64132

GST : 18%

Total Amount : 577188

Payment Status : Paid
",invoice
"
TAX INVOICE

Invoice ID : 1035

Buyer : Vijay

Seller : XYZ Electronics

Items Purchased :

Keyboard

Mouse

Monitor

Total : 53672

Payment Mode : UPI
",invoice
"
INVOICE

Invoice Number : INV-1036

Invoice Date : 23/07/2026

Customer : Suresh

Company : ABC Technologies

Product : Laptop

Quantity : 9

Price : 7587

GST : 18%

Total Amount : 68283

Payment Status : Paid
",invoice
"
TAX INVOICE

Invoice ID : 1037

Buyer : Sai Krishna

Seller : XYZ Electronics

Items Purchased :

Keyboard

Mouse

Monitor

Total : 79786

Payment Mode : UPI
",invoice
"
TAX INVOICE

Invoice ID : 1038

Buyer : Kiran

Seller : XYZ Electronics

Items Purchased :

Keyboard

Mouse

Monitor

Total : 41148

Payment Mode : UPI
",invoice
"
INVOICE

Invoice Number : INV-1039

Invoice Date : 03/04/2025

Customer : Ganesh Naidu

Company : ABC Technologies

Product : Laptop

Quantity : 3

Price : 853

GST : 18%

Total Amount : 2559

Payment Status : Paid
",invoice
"
INVOICE

Invoice Number : INV-1004

Invoice Date : 26/01/2023

Customer : Vijay

Company : ABC Technologies

Product : Laptop

Quantity : 6

Price : 32370

GST : 18%

Total Amount : 194220

Payment Status : Paid
",invoice
"
TAX INVOICE

Invoice ID : 1040

Buyer : Sai Krishna

Seller : XYZ Electronics

Items Purchased :

Keyboard

Mouse

Monitor

Total : 504864

Payment Mode : UPI
",invoice
"
TAX INVOICE

Invoice ID : 1041

Buyer : Kiran

Seller : XYZ Electronics

Items Purchased :

Keyboard

Mouse

Monitor

Total : 668528

Payment Mode : UPI
",invoice
"
TAX INVOICE

Invoice ID : 1042

Buyer : Suresh

Seller : XYZ Electronics

Items Purchased :

Keyboard

Mouse

Monitor

Total : 267029

Payment Mode : UPI
",invoice
